Packet_N GL GP  Date     Time    Lat         Long       Mil Spd Course 
00010909 07 07 02/12/11 07:19:18 5542.6618N 03739.9069E 027 000 105.5
00010910 07 07 02/12/11 07:19:23 5542.6618N 03739.9067E 027 000 123.4
00010911 07 08 02/12/11 07:19:28 5542.6618N 03739.9065E 027 000 112.5
00010912 07 08 02/12/11 07:19:33 5542.6619N 03739.9062E 027 000 098.7
00010913 08 08 02/12/11 07:19:38 5542.6619N 03739.9059E 027 000 100.3
00010914 08 07 02/12/11 07:19:43 5542.6619N 03739.9056E 027 000 279.1
00010915 06 07 02/12/11 07:19:48 5542.6619N 03739.9055E 027 000 252.8
00010916 08 08 02/12/11 07:19:53 5542.6618N 03739.9054E 027 000 200.6
00010917 06 08 02/12/11 07:19:58 5542.6617N 03739.9052E 027 000 048.8
00010918 07 08 02/12/11 07:20:04 5542.6617N 03739.9049E 027 000 039.3
00010919 07 07 02/12/11 07:20:09 5542.6618N 03739.9047E 027 000 218.9
00010920 07 07 02/12/11 07:20:14 5542.6618N 03739.9046E 027 000 053.6
00010921 08 07 02/12/11 07:20:19 5542.6618N 03739.9046E 027 000 293.2
00010922 08 08 02/12/11 07:20:24 5542.6619N 03739.9048E 027 000 275.3
00010923 08 08 02/12/11 07:20:29 5542.6619N 03739.9048E 027 000 170.0
00010924 07 08 02/12/11 07:20:34 5542.6619N 03739.9048E 027 000 231.2
00010925 08 07 02/12/11 07:20:39 5542.6619N 03739.9048E 027 000 149.9
00010926 07 07 02/12/11 07:20:44 5542.6619N 03739.9046E 027 000 156.3
00010927 08 06 02/12/11 07:20:49 5542.6619N 03739.9044E 027 000 328.8
00010928 07 07 02/12/11 07:20:54 5542.6620N 03739.9044E 027 000 067.3
00010929 08 06 02/12/11 07:21:00 5542.6620N 03739.9042E 027 000 142.5
00010930 07 08 02/12/11 07:21:27 5542.6619N 03739.9035E 027 000 169.9
00010931 08 07 02/12/11 07:22:27 5542.6625N 03739.9016E 027 000 223.0
00010932 07 06 02/12/11 07:23:28 5542.6624N 03739.9017E 027 000 255.4
00010933 08 07 02/12/11 07:24:28 5542.6632N 03739.9019E 027 000 319.1
00010934 07 08 02/12/11 07:25:28 5542.6629N 03739.9013E 027 000 231.5
00010935 05 07 02/12/11 07:25:31 5542.6591N 03739.8967E 027 022 224.7
00010936 05 06 02/12/11 07:25:36 5542.6425N 03739.8665E 027 031 226.6
00010937 05 05 02/12/11 07:25:40 5542.6333N 03739.8477E 027 014 245.6
00010938 06 07 02/12/11 07:25:41 5542.6327N 03739.8446E 027 010 264.6
00010939 06 05 02/12/11 07:25:42 5542.6328N 03739.8420E 027 010 303.1
00010940 05 04 02/12/11 07:25:44 5542.6358N 03739.8370E 027 017 331.8
00010941 04 05 02/12/11 07:25:45 5542.6383N 03739.8336E 027 027 315.2
00010942 03 05 02/12/11 07:25:50 5542.6541N 03739.8113E 027 017 329.1
00010943 03 05 02/12/11 07:25:52 5542.6574N 03739.8056E 027 014 306.6
00010944 03 03 02/12/11 07:25:53 5542.6581N 03739.7997E 027 027 289.0
00010947 08 08 02/12/11 07:26:08 5542.7164N 03739.7813E 027 027 358.9
00010948 08 07 02/12/11 07:26:13 5542.7365N 03739.7791E 027 018 351.1
00010949 07 08 02/12/11 07:26:18 5542.7439N 03739.7773E 027 003 012.6
00010950 07 08 02/12/11 07:26:23 5542.7450N 03739.7772E 027 000 336.4
00010951 07 08 02/12/11 07:26:28 5542.7460N 03739.7767E 027 000 333.5
00010952 06 07 02/12/11 07:26:33 5542.7540N 03739.7754E 027 023 341.4
00010953 03 07 02/12/11 07:26:38 5542.7758N 03739.7642E 027 032 345.8
00010954 05 06 02/12/11 07:26:43 5542.8010N 03739.7539E 027 037 348.1
00010955 05 06 02/12/11 07:26:48 5542.8268N 03739.7437E 027 032 351.8
00010956 04 03 02/12/11 07:26:53 5542.8607N 03739.7338E 027 040 350.5
00010957 06 07 02/12/11 07:26:58 5542.8901N 03739.7229E 027 040 346.7
00010958 05 06 02/12/11 07:27:04 5542.9247N 03739.7074E 028 036 348.7
00010959 05 05 02/12/11 07:27:09 5542.9503N 03739.6958E 028 031 340.5
00010960 07 06 02/12/11 07:27:14 5542.9698N 03739.6878E 028 017 345.4
00010961 06 04 02/12/11 07:27:19 5542.9778N 03739.6835E 028 013 339.8
00010962 05 07 02/12/11 07:27:21 5542.9835N 03739.6826E 028 024 014.2
00010965 06 07 02/12/11 07:27:36 5543.0374N 03739.7556E 028 032 049.1
00010966 06 07 02/12/11 07:27:38 5543.0442N 03739.7646E 028 023 031.5
00010967 06 08 02/12/11 07:27:43 5543.0511N 03739.7728E 028 010 038.8
00010968 06 07 02/12/11 07:27:47 5543.0554N 03739.7777E 028 007 012.1
00010969 05 08 02/12/11 07:27:49 5543.0581N 03739.7779E 028 010 354.7
00010972 02 03 02/12/11 07:28:00 5543.0732N 03739.7516E 028 026 264.5
00010975 06 07 02/12/11 07:28:19 5543.1379N 03739.5416E 028 068 323.1
00010975 06 07 02/12/11 07:28:19 5543.1379N 03739.5416E 028 068 323.1
00010978 05 06 02/12/11 07:28:51 5543.4272N 03739.5545E 029 070 355.2
00011007 08 06 02/12/11 18:18:23 5544.8937N 03738.8006E 028 000 310.7
00011008 07 06 02/12/11 18:18:28 5544.8936N 03738.7997E 028 000 180.1
00011009 09 06 02/12/11 18:18:33 5544.8934N 03738.7988E 028 000 052.7
00011010 09 07 02/12/11 18:18:38 5544.8931N 03738.7976E 028 000 076.7
00011011 08 07 02/12/11 18:18:43 5544.8928N 03738.7964E 028 000 312.8
00011012 05 04 02/12/11 18:18:48 5544.8936N 03738.7891E 028 003 339.8
00011013 09 07 02/12/11 18:18:53 5544.9083N 03738.7668E 028 035 328.5
00011014 09 08 02/12/11 18:18:58 5544.9302N 03738.7376E 028 030 324.1
00011015 09 06 02/12/11 18:19:03 5544.9431N 03738.7202E 029 012 324.0
00011016 08 07 02/12/11 18:19:08 5544.9460N 03738.7146E 029 002 330.0
00011017 09 07 02/12/11 18:19:13 5544.9461N 03738.7136E 029 000 322.0
00011018 06 04 02/12/11 18:19:15 5544.9484N 03738.7078E 029 022 293.7
00011019 09 07 02/12/11 18:19:16 5544.9493N 03738.7018E 029 028 275.6
00011020 08 06 02/12/11 18:19:18 5544.9483N 03738.6848E 029 037 256.4
00011021 08 07 02/12/11 18:19:23 5544.9366N 03738.6237E 029 056 252.3
00011022 07 06 02/12/11 18:19:28 5544.9218N 03738.5481E 029 058 250.5
00011023 08 06 02/12/11 18:19:33 5544.9032N 03738.4793E 029 056 235.8
00011024 06 06 02/12/11 18:19:38 5544.8770N 03738.4297E 029 040 221.3
00011026 07 05 02/12/11 18:19:43 5544.8631N 03738.3991E 029 032 280.5
00011027 07 04 02/12/11 18:19:53 5544.8967N 03738.2627E 029 069 297.5
00011028 07 05 02/12/11 18:20:03 5544.9441N 03738.0921E 029 073 296.5
00011029 09 05 02/12/11 18:20:13 5544.9812N 03737.9149E 029 068 278.1
00011030 08 04 02/12/11 18:20:23 5544.9945N 03737.7344E 030 066 275.6
00011031 06 04 02/12/11 18:20:29 5544.9984N 03737.6377E 030 050 270.4
00011032 06 04 02/12/11 18:20:29 5544.9984N 03737.6377E 030 050 270.4
00011033 06 05 02/12/11 18:20:34 5544.9976N 03737.5833E 030 026 266.1
00011034 06 06 02/12/11 18:20:39 5544.9988N 03737.5660E 030 003 257.2
00011035 08 07 02/12/11 18:20:44 5544.9989N 03737.5662E 030 000 032.3
00011036 06 06 02/12/11 18:20:49 5544.9987N 03737.5662E 030 000 031.4
00011037 06 08 02/12/11 18:20:54 5544.9984N 03737.5662E 030 000 271.0
00011038 07 04 02/12/11 18:20:59 5544.9998N 03737.5514E 030 026 274.3
00011039 08 06 02/12/11 18:21:04 5544.9980N 03737.5031E 030 042 261.1
00011040 07 05 02/12/11 18:21:05 5544.9969N 03737.4917E 030 044 259.1
00011041 03 02 02/12/11 18:21:10 5544.9895N 03737.4297E 030 051 255.4
00011042 08 06 02/12/11 18:21:15 5544.9780N 03737.3584E 030 058 260.5
00011043 07 06 02/12/11 18:21:19 5544.9713N 03737.2934E 030 064 260.4
00011044 08 07 02/12/11 18:21:24 5544.9627N 03737.2218E 030 073 255.6
00011045 09 06 02/12/11 18:21:29 5544.9488N 03737.1254E 030 072 256.7
00011046 08 06 02/12/11 18:21:34 5544.9363N 03737.0383E 030 059 254.6
00011047 08 06 02/12/11 18:21:38 5544.9240N 03736.9744E 030 035 244.1
00011048 09 06 02/12/11 18:21:43 5544.9147N 03736.9392E 030 022 248.0
00011049 08 05 02/12/11 18:21:48 5544.9106N 03736.9233E 030 004 241.6
00011050 09 07 02/12/11 18:21:53 5544.9099N 03736.9206E 030 001 243.3
00011051 09 06 02/12/11 18:21:58 5544.9065N 03736.9083E 030 018 246.1
00011052 09 06 02/12/11 18:22:03 5544.8987N 03736.8790E 031 027 244.7
00011053 07 06 02/12/11 18:22:08 5544.8883N 03736.8410E 031 035 244.1
00011054 08 05 02/12/11 18:22:13 5544.8791N 03736.7952E 031 030 257.0
00011055 09 06 02/12/11 18:22:16 5544.8763N 03736.7714E 031 029 261.0
00011056 09 07 02/12/11 18:22:18 5544.8756N 03736.7566E 031 026 277.1
00011057 09 06 02/12/11 18:22:19 5544.8762N 03736.7496E 031 026 286.0
00011058 07 07 02/12/11 18:22:20 5544.8776N 03736.7429E 031 027 302.3
00011059 09 07 02/12/11 18:22:21 5544.8797N 03736.7374E 031 023 315.3
00011060 09 06 02/12/11 18:22:22 5544.8820N 03736.7335E 031 019 324.4
00011061 09 07 02/12/11 18:22:27 5544.8891N 03736.7244E 031 005 329.2
00011062 09 07 02/12/11 18:22:32 5544.8907N 03736.7221E 031 001 284.4
00011063 08 07 02/12/11 18:22:33 5544.8913N 03736.7213E 031 002 322.2
00011064 09 06 02/12/11 18:22:47 5544.9251N 03736.6800E 031 025 324.0
00011065 09 07 02/12/11 18:22:53 5544.9403N 03736.6449E 031 033 295.1
00011066 09 07 02/12/11 18:23:00 5544.9514N 03736.5957E 031 030 294.4
00011067 08 07 02/12/11 18:23:06 5544.9717N 03736.5630E 031 031 346.6
00011068 09 07 02/12/11 18:23:08 5544.9808N 03736.5622E 031 030 008.6
00011069 09 07 02/12/11 18:23:13 5545.0028N 03736.5722E 031 024 015.4
00011070 05 07 02/12/11 18:23:19 5545.0254N 03736.5804E 031 033 015.5
00011071 07 07 02/12/11 18:23:26 5545.0631N 03736.5929E 031 053 016.4
00011072 08 07 02/12/11 18:23:33 5545.1178N 03736.6121E 031 050 019.4
00011073 03 04 02/12/11 18:23:39 5545.1620N 03736.6478E 031 055 020.7
00011074 08 06 02/12/11 18:23:45 5545.2060N 03736.6790E 031 044 013.3
00011075 06 05 02/12/11 18:23:51 5545.2296N 03736.6914E 031 012 015.5
00011076 07 07 02/12/11 18:23:57 5545.2321N 03736.6913E 031 001 153.4
00011077 07 07 02/12/11 18:23:58 5545.2321N 03736.6912E 031 001 346.6
00011078 07 06 02/12/11 18:24:03 5545.2322N 03736.6912E 031 000 023.8
00011079 07 06 02/12/11 18:24:08 5545.2323N 03736.6912E 031 000 316.4
00011080 07 07 02/12/11 18:24:13 5545.2325N 03736.6914E 031 000 327.6
00011081 07 07 02/12/11 18:24:18 5545.2326N 03736.6911E 031 000 181.0
00011082 06 07 02/12/11 18:24:23 5545.2327N 03736.6908E 031 000 314.4
00011083 08 05 02/12/11 18:24:28 5545.2364N 03736.6912E 031 005 012.1
00011084 08 05 02/12/11 18:24:33 5545.2552N 03736.7003E 031 033 018.6
00011085 06 06 02/12/11 18:24:38 5545.2832N 03736.7280E 031 047 030.3
00011086 09 07 02/12/11 18:24:43 5545.3131N 03736.7650E 032 046 030.6
00011087 08 06 02/12/11 18:24:49 5545.3470N 03736.8030E 032 046 032.4
00011088 07 05 02/12/11 18:24:54 5545.3764N 03736.8369E 032 044 033.6
00011152 07 06 02/12/11 07:41:37 5543.3237N 03738.8988E 032 015 231.5
00011153 05 07 02/12/11 07:41:47 5543.3293N 03738.8131E 032 039 280.7
00011154 08 08 02/12/11 07:41:57 5543.3364N 03738.7300E 032 026 278.5
00011155 06 09 02/12/11 07:42:07 5543.3422N 03738.6570E 032 032 282.7
00011156 05 09 02/12/11 07:42:17 5543.3870N 03738.6368E 032 048 008.3
00011157 05 08 02/12/11 07:42:23 5543.4221N 03738.6446E 032 023 004.1
00011158 05 08 02/12/11 07:42:23 5543.4221N 03738.6446E 032 023 004.1
00011159 06 07 02/12/11 07:42:28 5543.4301N 03738.6458E 032 002 359.6
00011160 07 08 02/12/11 07:42:33 5543.4304N 03738.6458E 032 000 261.5
00011161 07 08 02/12/11 07:42:34 5543.4304N 03738.6457E 032 000 171.1
00011162 06 07 02/12/11 07:42:42 5543.4305N 03738.6453E 032 000 357.5
00011163 06 05 02/12/11 07:42:47 5543.4311N 03738.6449E 032 000 324.4
00011164 05 06 02/12/11 07:42:52 5543.4482N 03738.6469E 032 034 005.0
00011165 05 05 02/12/11 07:42:57 5543.4736N 03738.6575E 033 031 005.8
00011166 06 05 02/12/11 07:43:02 5543.4984N 03738.6664E 033 024 012.4
00011167 06 06 02/12/11 07:43:07 5543.5089N 03738.6736E 033 003 002.7
00011168 07 07 02/12/11 07:43:12 5543.5097N 03738.6732E 033 000 050.8
00011171 07 07 02/12/11 07:43:41 5543.5120N 03738.6733E 033 000 166.6
00011172 07 08 02/12/11 07:43:46 5543.5125N 03738.6735E 033 000 159.3
00011173 07 08 02/12/11 07:43:51 5543.5128N 03738.6736E 033 000 140.0
00011174 08 09 02/12/11 07:43:56 5543.5128N 03738.6733E 033 000 332.4
00011175 06 08 02/12/11 07:44:01 5543.5130N 03738.6729E 033 000 006.9
00011176 03 05 02/12/11 07:44:06 5543.5192N 03738.6747E 033 023 004.8
00011177 05 08 02/12/11 07:44:12 5543.5512N 03738.6763E 033 038 009.4
00011178 04 07 02/12/11 07:44:17 5543.5709N 03738.6818E 033 013 010.7
00011179 04 09 02/12/11 07:44:22 5543.5765N 03738.6824E 033 003 010.8
00011180 05 08 02/12/11 07:44:27 5543.5766N 03738.6819E 033 000 127.6
00011181 05 08 02/12/11 07:44:32 5543.5766N 03738.6815E 033 000 131.8
00011184 06 08 02/12/11 07:45:00 5543.6001N 03738.6807E 033 008 004.3
00011185 05 07 02/12/11 07:45:05 5543.6104N 03738.6830E 033 013 013.4
00011186 05 07 02/12/11 07:45:10 5543.6239N 03738.6860E 033 026 007.7
00011187 04 07 02/12/11 07:45:15 5543.6464N 03738.6916E 033 024 008.6
00011188 04 06 02/12/11 07:45:21 5543.6622N 03738.6977E 033 019 022.0
00011189 04 04 02/12/11 07:45:26 5543.6736N 03738.7000E 033 013 015.4
00011190 04 03 02/12/11 07:45:30 5543.6747N 03738.7001E 033 008 087.0
00011191 03 02 02/12/11 07:45:34 5543.6746N 03738.7101E 033 024 108.7
00011192 05 04 02/12/11 07:45:39 5543.6633N 03738.7670E 033 037 111.3
00011193 04 05 02/12/11 07:45:44 5543.6549N 03738.8140E 033 024 105.7
00011194 04 04 02/12/11 07:45:49 5543.6516N 03738.8391E 033 009 138.2
00011195 04 05 02/12/11 07:45:50 5543.6507N 03738.8406E 033 008 077.8
00011196 03 02 02/12/11 07:45:52 5543.6490N 03738.8460E 033 007 115.8
00011197 02 03 02/12/11 07:45:54 5543.6447N 03738.8480E 033 030 197.8
00011198 04 04 02/12/11 07:45:59 5543.6184N 03738.8300E 033 013 203.9
00011199 04 05 02/12/11 07:46:00 5543.6160N 03738.8288E 033 008 180.4
00011200 02 05 02/12/11 07:46:05 5543.6067N 03738.8329E 033 017 174.8
00011201 02 04 02/12/11 07:46:06 5543.6031N 03738.8324E 033 030 194.4
00011202 04 06 02/12/11 07:46:11 5543.5839N 03738.8224E 033 008 225.7
00011203 03 05 02/12/11 07:46:12 5543.5834N 03738.8201E 033 008 244.2
00011204 03 04 02/12/11 07:46:14 5543.5823N 03738.8139E 033 052 326.7
00011205 03 02 02/12/11 07:46:17 5543.5883N 03738.8107E 033 031 105.6
00011206 03 05 02/12/11 07:46:22 5543.5793N 03738.8569E 033 027 117.9
00011207 02 05 02/12/11 07:46:27 5543.5666N 03738.9107E 033 027 103.4
00011208 02 04 02/12/11 07:46:32 5543.5616N 03738.9258E 033 003 104.8
00011209 04 06 02/12/11 07:46:37 5543.5582N 03738.9302E 033 001 339.2
00011210 03 05 02/12/11 07:46:39 5543.5574N 03738.9309E 033 009 226.3
00011211 04 03 02/12/11 07:46:40 5543.5561N 03738.9315E 033 026 207.5
00011212 04 04 02/12/11 07:46:44 5543.5362N 03738.9244E 033 020 214.6
00011213 04 05 02/12/11 07:46:50 5543.5224N 03738.9098E 033 002 195.6
00011214 03 07 02/12/11 07:46:52 5543.5224N 03738.9094E 033 008 032.6
00011215 02 04 02/12/11 07:46:55 5543.5225N 03738.9124E 033 007 083.0
00011216 01 04 02/12/11 07:46:57 5543.5220N 03738.9145E 033 010 117.2
00011217 03 07 02/12/11 07:47:01 5543.5093N 03738.9402E 033 019 112.1
00011218 04 05 02/12/11 07:47:04 5543.5061N 03738.9545E 033 012 093.5
00011219 04 04 02/12/11 07:47:06 5543.5038N 03738.9621E 033 016 129.0
00011220 05 07 02/12/11 07:47:10 5543.4985N 03738.9737E 033 003 108.4
00011221 03 08 02/12/11 07:47:16 5543.4960N 03738.9815E 033 003 120.5
00011222 05 08 02/12/11 07:47:21 5543.4957N 03738.9841E 033 000 073.6
00011223 03 08 02/12/11 07:47:26 5543.4944N 03738.9880E 033 002 115.5
00011224 04 06 02/12/11 07:47:30 5543.4944N 03738.9940E 033 009 063.7
00011224 04 06 02/12/11 07:47:30 5543.4944N 03738.9940E 033 009 063.7
00011225 05 07 02/12/11 07:47:40 5543.5088N 03739.0143E 033 011 025.6
00011226 06 07 02/12/11 07:47:50 5543.5306N 03739.0341E 034 018 023.5
00011230 05 06 02/12/11 07:48:10 5543.5332N 03739.1116E 034 035 119.9
00011231 05 08 02/12/11 07:48:11 5543.5305N 03739.1194E 034 034 121.5
00011232 05 06 02/12/11 07:48:16 5543.5217N 03739.1466E 034 010 117.4
00011233 04 07 02/12/11 07:48:21 5543.5194N 03739.1584E 034 015 121.0
00011234 05 04 02/12/11 07:48:26 5543.5134N 03739.1715E 034 008 124.1
00011235 06 06 02/12/11 07:48:31 5543.5095N 03739.1783E 034 004 123.6
00011236 06 09 02/12/11 07:48:37 5543.5087N 03739.1790E 034 000 297.3
00011237 06 08 02/12/11 07:48:42 5543.5074N 03739.1819E 034 002 117.9
00011238 05 07 02/12/11 07:48:47 5543.5047N 03739.1893E 034 006 119.6
00011239 06 08 02/12/11 07:48:52 5543.5012N 03739.1984E 034 012 128.1
00011240 06 07 02/12/11 07:48:57 5543.4951N 03739.2141E 034 010 123.5
00011266 07 07 02/12/11 18:39:46 5548.0278N 03731.9325E 039 073 305.2
00011287 07 06 02/12/11 18:41:21 5548.4713N 03730.4415E 040 060 327.7
00011288 08 05 02/12/11 18:41:28 5548.5282N 03730.3881E 040 066 332.0
00011289 08 06 02/12/11 18:41:38 5548.6203N 03730.3090E 041 069 334.8
00011292 07 05 02/12/11 18:41:53 5548.7588N 03730.1944E 041 068 335.0
00011293 08 07 02/12/11 18:41:58 5548.8059N 03730.1563E 041 067 335.3
00011294 08 06 02/12/11 18:42:03 5548.8514N 03730.1190E 041 067 335.2
00011295 07 07 02/12/11 18:42:06 5548.8782N 03730.0969E 041 065 334.7
00011296 07 08 02/12/11 18:42:10 5548.9134N 03730.0675E 041 065 335.2
00011297 08 08 02/12/11 18:42:15 5548.9569N 03730.0317E 041 064 334.3
00011298 08 06 02/12/11 18:42:20 5549.0011N 03729.9941E 041 064 335.3
00011299 07 07 02/12/11 18:42:21 5549.0101N 03729.9868E 041 065 335.0
00011300 07 05 02/12/11 18:42:26 5549.0552N 03729.9499E 042 066 335.0
00011301 08 07 02/12/11 18:42:31 5549.1008N 03729.9131E 042 067 334.9
00011302 08 07 02/12/11 18:42:36 5549.1470N 03729.8748E 042 067 335.3
00011305 07 07 02/12/11 18:42:54 5549.3164N 03729.7356E 042 068 335.2
00011306 09 05 02/12/11 18:42:59 5549.3640N 03729.6966E 042 071 336.1
00011307 09 07 02/12/11 18:43:04 5549.4116N 03729.6584E 042 070 335.4
00011308 10 08 02/12/11 18:43:09 5549.4594N 03729.6193E 042 068 334.9
00011309 09 07 02/12/11 18:43:14 5549.5051N 03729.5812E 042 066 335.4
00011310 08 07 02/12/11 18:43:19 5549.5507N 03729.5443E 043 065 335.2
00011311 09 07 02/12/11 18:43:25 5549.6051N 03729.5001E 043 067 335.1
00011312 10 08 02/12/11 18:43:30 5549.6499N 03729.4618E 043 067 334.6
00011313 09 07 02/12/11 18:43:35 5549.6957N 03729.4244E 043 066 335.5
00011314 09 07 02/12/11 18:43:40 5549.7402N 03729.3873E 043 066 335.2
00011315 08 06 02/12/11 18:43:45 5549.7863N 03729.3504E 043 067 335.4
00011316 09 06 02/12/11 18:43:50 5549.8323N 03729.3130E 043 068 335.1
00011317 08 06 02/12/11 18:43:55 5549.8792N 03729.2740E 043 070 335.7
00011318 07 08 02/12/11 18:44:00 5549.9271N 03729.2348E 043 070 334.9
00011320 08 05 02/12/11 18:44:11 5550.0228N 03729.1540E 043 072 335.5
00011321 09 08 02/12/11 18:44:21 5550.1233N 03729.0700E 044 075 335.6
00011322 09 08 02/12/11 18:44:31 5550.2281N 03728.9925E 044 073 337.1
00011323 09 08 02/12/11 18:44:41 5550.3254N 03728.9195E 044 068 337.0
00011324 10 08 02/12/11 18:44:51 5550.4229N 03728.8449E 044 070 337.0
00011325 10 08 02/12/11 18:44:56 5550.4714N 03728.8074E 044 071 336.0
00011326 09 08 02/12/11 18:45:01 5550.5208N 03728.7697E 044 072 337.1
00011337 09 06 02/12/11 18:45:46 5550.9603N 03728.4695E 045 059 340.2
00011338 09 08 02/12/11 18:45:53 5551.0189N 03728.4291E 045 059 339.0
00011339 09 08 02/12/11 18:46:08 5551.1457N 03728.3425E 046 058 338.6
00011342 08 07 02/12/11 18:46:24 5551.2578N 03728.2645E 046 040 338.4
00011343 09 07 02/12/11 18:46:29 5551.2865N 03728.2448E 046 038 337.3
00011344 09 07 02/12/11 18:46:34 5551.3138N 03728.2254E 046 036 339.0
00011345 06 06 02/12/11 18:46:39 5551.3344N 03728.2111E 046 018 347.2
00011346 07 04 02/12/11 18:46:44 5551.3394N 03728.2102E 046 001 083.3
00011347 08 06 02/12/11 18:46:49 5551.3400N 03728.2084E 046 000 075.6
00011348 07 04 02/12/11 18:46:54 5551.3395N 03728.2087E 046 000 151.7
00011349 06 05 02/12/11 18:47:00 5551.3387N 03728.2078E 046 000 329.2
00011350 07 05 02/12/11 18:47:05 5551.3389N 03728.2084E 046 000 042.5
00011425 09 08 02/12/11 18:59:58 5553.7753N 03725.6181E 051 073 324.4
00011426 09 07 02/12/11 19:00:08 5553.8631N 03725.5082E 051 069 325.0
00011427 09 08 02/12/11 19:00:18 5553.9453N 03725.4055E 052 065 325.2
00011428 09 08 02/12/11 19:00:28 5554.0243N 03725.3073E 052 064 325.1
00011429 09 08 02/12/11 19:00:38 5554.0983N 03725.2142E 052 056 324.2
00011430 09 08 02/12/11 19:00:39 5554.1052N 03725.2054E 052 056 324.5
00011431 09 07 02/12/11 19:00:44 5554.1377N 03725.1640E 052 046 324.1
00011432 05 06 02/12/11 08:07:53 5543.8999N 03739.9578E 037 058 077.0
00011432 09 08 02/12/11 19:00:49 5554.1585N 03725.1362E 052 027 321.2
00011433 05 05 02/12/11 08:08:03 5543.9203N 03740.0375E 037 003 065.0
00011433 09 08 02/12/11 19:00:54 5554.1749N 03725.1141E 052 030 322.6
00011434 06 06 02/12/11 08:08:13 5543.9206N 03740.0393E 037 000 042.6
00011434 08 08 02/12/11 19:00:59 5554.1946N 03725.0866E 052 036 321.3
00011435 05 07 02/12/11 08:08:23 5543.9616N 03740.0799E 038 041 028.6
00011435 08 08 02/12/11 19:01:04 5554.2137N 03725.0597E 052 024 319.3
00011436 05 07 02/12/11 08:08:33 5543.9925N 03740.1111E 038 003 020.2
00011436 09 08 02/12/11 19:01:09 5554.2274N 03725.0405E 052 024 321.1
00011437 04 04 02/12/11 08:08:38 5543.9927N 03740.1116E 038 000 213.1
00011437 09 08 02/12/11 19:01:14 5554.2449N 03725.0145E 052 034 319.2
00011438 04 04 02/12/11 08:08:38 5543.9927N 03740.1116E 038 000 213.1
00011438 09 07 02/12/11 19:01:19 5554.2644N 03724.9848E 052 036 319.6
00011439 05 05 02/12/11 08:08:43 5543.9959N 03740.1147E 038 017 019.2
00011439 09 07 02/12/11 19:01:24 5554.2874N 03724.9500E 052 043 319.2
00011440 04 05 02/12/11 08:08:48 5544.0203N 03740.1383E 038 049 032.5
00011440 09 07 02/12/11 19:01:29 5554.3130N 03724.9112E 052 045 319.3
00011441 05 05 02/12/11 08:08:53 5544.0553N 03740.1784E 038 064 033.3
00011441 08 08 02/12/11 19:01:34 5554.3403N 03724.8691E 052 049 319.0
00011442 05 04 02/12/11 08:08:54 5544.0637N 03740.1880E 038 067 032.1
00011442 09 08 02/12/11 19:01:39 5554.3694N 03724.8238E 052 053 319.0
00011443 03 06 02/12/11 08:08:59 5544.1010N 03740.2302E 038 076 029.1
00011443 09 08 02/12/11 19:01:44 5554.3983N 03724.7792E 053 050 318.7
00011444 03 06 02/12/11 08:09:04 5544.1589N 03740.2719E 038 079 021.1
00011444 08 06 02/12/11 19:01:49 5554.4283N 03724.7341E 053 053 320.1
00011445 05 06 02/12/11 08:09:09 5544.2171N 03740.3093E 038 076 023.1
00011445 09 08 02/12/11 19:01:54 5554.4596N 03724.6858E 053 056 319.5
00011446 04 07 02/12/11 08:09:14 5544.2637N 03740.3419E 038 059 020.1
00011446 09 08 02/12/11 19:01:59 5554.4914N 03724.6364E 053 056 319.6
00011447 05 06 02/12/11 08:09:19 5544.2994N 03740.3659E 038 044 019.0
00011447 09 08 02/12/11 19:02:04 5554.5241N 03724.5865E 053 059 319.5
00011448 04 05 02/12/11 08:09:24 5544.3213N 03740.3829E 038 022 018.6
00011448 09 08 02/12/11 19:02:05 5554.5377N 03724.5656E 053 060 319.4
00011449 04 07 02/12/11 08:09:29 5544.3308N 03740.3906E 038 016 015.1
00011449 09 08 02/12/11 19:02:10 5554.5725N 03724.5137E 053 061 321.1
00011450 04 07 02/12/11 08:09:34 5544.3346N 03740.3923E 038 000 157.1
00011450 09 06 02/12/11 19:02:14 5554.6020N 03724.4717E 053 065 321.0
00011451 06 08 02/12/11 08:09:39 5544.3345N 03740.3922E 038 000 326.4
00011451 09 08 02/12/11 19:02:19 5554.6338N 03724.4273E 053 067 322.3
00011452 06 08 02/12/11 08:09:44 5544.3343N 03740.3921E 038 000 205.0
00011452 09 08 02/12/11 19:02:21 5554.6583N 03724.3924E 053 071 322.1
00011453 05 08 02/12/11 08:09:49 5544.3343N 03740.3920E 038 000 125.0
00011453 09 08 02/12/11 19:02:31 5554.7388N 03724.2781E 053 059 321.4
00011454 05 08 02/12/11 08:09:54 5544.3342N 03740.3920E 038 000 220.5
00011454 09 08 02/12/11 19:02:37 5554.7805N 03724.2188E 053 058 321.4
00011455 05 08 02/12/11 08:09:59 5544.3344N 03740.3917E 038 000 236.2
00011455 09 08 02/12/11 19:02:46 5554.8462N 03724.1262E 054 066 322.1
00011456 05 07 02/12/11 08:10:04 5544.3348N 03740.3915E 038 000 081.2
00011456 09 08 02/12/11 19:02:51 5554.8842N 03724.0733E 054 065 321.9
00011457 04 08 02/12/11 08:10:09 5544.3351N 03740.3913E 038 000 149.3
00011457 09 08 02/12/11 19:02:58 5554.9397N 03723.9977E 054 065 321.9
